Left Angle,Right Angle,Outcome
180,180,0
86.66804793,180,1
147.0947571,180,1
92.81284856,180,1
147.0947571,147.0947571,1
147.0947571,149.5344551,1
9.308371709,147.0947571,1
180,162.0720802,1
147.0947571,5.418675567,1
92.90505505,93.22185893,1
180,93.1088568,1
180,114.1895142,1
92.81284856,93.00350583,1
180,180,0
147.0947571,180,1
180,149.5344551,1
180,180,0
180,147.0947571,1
119.0689102,147.0947571,1
147.0947571,147.0947571,1
147.0947571,147.0947571,1
129.1668373,180,1
90,177.560302,1
135.8550974,162.0720802,1
117.9794744,147.0947571,1
111.5713072,147.0947571,1
161.5650512,145.491477,1
161.5650512,180,1
145.491477,131.6050765,1
163.1416012,180,1
161.5650512,180,1
171.7976458,180,0
171.7976458,180,0
170.2382252,163.5952915,0
155.7159938,163.5952915,1
152.8100217,163.5952915,1
171.7976458,163.5952915,0
170.2382252,180,0
171.7976458,162.035871,1
172.9296552,169.2147302,0
170.2382252,180,0
140.533127,136.6187758,1
154.1565733,144.930724,1
136.6187758,162.035871,1
136.6187758,152.8100217,1
144.4980735,178.4405795,1
180,19.32271303,1
149.5344551,180,1
149.5344551,180,1
147.0947571,180,1
90,90,1
180,180,0
180,180,0
162.0720802,162.0720802,1
180,161.5650512,1
180,180,0
180,114.1895142,1
180,180,0
114.1895142,180,1
90,180,1
147.0947571,180,1
180,114.1895142,1
57.09475708,180,1
147.0947571,147.0947571,1
180,180,0
180,149.5344551,1
180,147.0947571,1
62.38697218,180,1
180,180,0
180,180,0
162.0720802,180,1
163.6104597,180,1
149.5344551,147.0947571,1
147.0947571,180,1
180,180,0
180,152.5167367,1
171.6341139,168.906277,0
180,129.1668373,1
180,180,0
164.0397251,174.4006607,1
180,147.893744,1
174.2435384,136.7357046,1
170.8111639,65.03168037,1
167.8285418,180,0
171.2609163,156.6659587,1
93.64338743,57.89374404,1
180,84.00940528,1
147.0947571,94.78899754,1
84.26707368,180,1
168.906277,84.00940528,1
168.906277,168.906277,0
158.1884801,129.1668373,1
168.906277,168.906277,0
90,149.5344551,1
114.1895142,180,1
147.0947571,180,1
180,114.1895142,1
180,114.1895142,1
114.1895142,180,1
147.0947571,180,1
180,180,0
90,90,1
147.0947571,114.1895142,1
147.0947571,147.0947571,1
90,180,1
90,72.07208024,1
101.5899341,180,1
180,162.0720802,1
180,180,0
180,108.1363632,1
147.0947571,147.0947571,1
147.0947571,90,1
180,90,1
147.0947571,147.0947571,1
90,90,1
90,90,1
147.0947571,90,1
147.0947571,147.0947571,1
147.0947571,147.0947571,1
147.0947571,147.0947571,1
147.0947571,147.0947571,1
147.0947571,180,1
162.0720802,180,1
162.0720802,180,1
162.0720802,147.0947571,1
147.0947571,147.0947571,1
162.0720802,162.0720802,1
147.0947571,180,1
147.0947571,90,1
162.0720802,180,1
147.0947571,162.0720802,1
164.7273009,171.7976458,1
164.7273009,171.7976458,1
180,171.7976458,0
180,171.7976458,0
180,170.2382252,0
180,170.2382252,0
170.2382252,180,0
172.9296552,180,0
170.2382252,180,0
153.9420311,180,1
155.7159938,180,1
138.7687385,163.5952915,1
155.7159938,180,1
170.1341931,180,0
170.1341931,163.5952915,0
170.1341931,171.7976458,0
170.1341931,163.5952915,0
99.94057303,99.94057303,1
90,147.0947571,1
180,180,0
180,180,0
147.0947571,147.0947571,1
147.0947571,147.0947571,1
180,180,0
180,180,0
149.5344551,180,1
163.6104597,180,1
163.6104597,98.94538183,1
180,90,1
73.61045967,180,1
147.0947571,90,1
180,180,0
